"Dependent_Variable","ARDL_Spec","AIC","BIC","IPI_Japan","IPI_India","Bilateral_ExchRate","Cointegration"
"nails__screws__nuts__bolts__rivets_","ARDL(2,1,1,1)",925.0099,942.3866,NA,NA,NA,"Test Failed"
"natural_abrasives_incl__industrial_","ARDL(1,2,2,2)",523.8848,544.7368,NA,NA,NA,"Test Failed"
"nickel","ARDL(2,1,1,1)",919.8482,937.2248,NA,NA,NA,"Test Failed"
"non_ferrous_metal_scrap","ARDL(2,1,1,1)",791.0037,808.3804,NA,NA,NA,"Test Failed"
"office_and_stationery_supplies__n_e","ARDL(2,1,1,1)",780.2289,797.6056,NA,NA,NA,"Test Failed"
"office_machines","ARDL(2,2,2,2)",1015.367,1037.9567,NA,NA,NA,"Test Failed"
"ores_&_concentrates_of_non_ferrous_","Failed",NA,NA,NA,NA,NA,"Not Tested"
"organic_chemicals","ARDL(2,1,1,1)",1077.5102,1094.8869,NA,NA,NA,"Test Failed"
"other_crude_minerals","ARDL(2,1,1,1)",789.592,806.9687,NA,NA,NA,"Test Failed"
"other_electrical_machinery_and_appa","ARDL(1,2,2,2)",1089.3968,1110.2488,NA,NA,NA,"Test Failed"
"other_fixed_vegetable_oils","ARDL(2,1,1,1)",780.6281,798.0048,NA,NA,NA,"Test Failed"
"other_inorganic_chemicals","ARDL(2,1,1,1)",1069.3748,1086.7515,NA,NA,NA,"Test Failed"
"paper_and_paperboard","ARDL(2,1,1,1)",946.9107,964.2874,NA,NA,NA,"Test Failed"
"pearls_and_precious_and_semi_precio","ARDL(2,1,1,1)",977.2753,994.652,NA,NA,NA,"Test Failed"
"perambulators__toys__games_and_spor","ARDL(2,1,1,1)",809.3675,826.7442,NA,NA,NA,"Test Failed"
"photographic_and_cinematographic_su","ARDL(2,2,2,2)",898.7985,921.3882,NA,NA,NA,"Test Failed"
"pig_iron__spiegeleisen__sponge_iron","ARDL(2,1,1,1)",926.196,943.5727,NA,NA,NA,"Test Failed"
"pigments__paints__varnishes_&_relat","Failed",NA,NA,NA,NA,NA,"Not Tested"
"plastic_materials__regenerd__cellul","ARDL(2,1,1,1)",1066.9061,1084.2828,NA,NA,NA,"Test Failed"
"power_generating_machinery__other_t","ARDL(2,1,1,1)",1064.9627,1082.3394,NA,NA,NA,"Test Failed"
"printed_matter","ARDL(1,2,2,2)",867.2399,888.0919,NA,NA,NA,"Test Failed"
"pulp_&_waste_paper","Failed",NA,NA,NA,NA,NA,"Not Tested"
"road_motor_vehicles","ARDL(2,1,1,1)",1083.5596,1100.9363,NA,NA,NA,"Test Failed"
"road_vehicles_other_than_motor_vehi","ARDL(2,1,1,1)",896.8734,914.2501,NA,NA,NA,"Test Failed"
"sanitary__plumbing__heating_&_light","Failed",NA,NA,NA,NA,NA,"Not Tested"
"scientific__medical__optical__meas_","ARDL(1,2,2,2)",1024.165,1045.017,NA,NA,NA,"Test Failed"
"ships_and_boats","ARDL(2,1,1,1)",1130.1919,1147.5686,NA,NA,NA,"Test Failed"
"silk","ARDL(2,1,1,1)",702.3227,719.6994,NA,NA,NA,"Test Failed"
"soaps__cleansing_&_polishing_prepar","Failed",NA,NA,NA,NA,NA,"Not Tested"
"special_textile_fabrics_and_related","ARDL(2,1,1,1)",793.5446,810.9213,NA,NA,NA,"Test Failed"
"special_transactions_not_classd_acc","ARDL(2,1,1,1)",1116.4106,1133.7873,NA,NA,NA,"Test Failed"
"sulphur_&_unroasted_iron_pyrites","Failed",NA,NA,NA,NA,NA,"Not Tested"
"synth__organic_dyestuffs__natural_i","ARDL(2,1,1,1)",743.2884,760.6651,NA,NA,NA,"Test Failed"
"synthetic_and_regenerated_artificia","ARDL(2,1,1,1)",856.2166,873.5933,NA,NA,NA,"Test Failed"
"telecommunications_apparatus","ARDL(2,1,1,1)",1023.8448,1041.2215,NA,NA,NA,"Test Failed"
"text_fabrics_woven_ex_narrow__spec_","ARDL(1,2,2,2)",765.4863,786.3384,NA,NA,NA,"Test Failed"
"textile_and_leather_machinery","ARDL(2,2,2,2)",1041.3379,1063.9276,NA,NA,NA,"Test Failed"
"textile_yarn_and_thread","ARDL(2,2,2,2)",895.2274,917.8171,NA,NA,NA,"Test Failed"
"tin","ARDL(2,1,1,1)",734.4571,751.8338,NA,NA,NA,"Test Failed"
"tools_for_use_in_the_hand_or_in_mac","ARDL(2,1,1,1)",945.2577,962.6344,NA,NA,NA,"Test Failed"
"travel_goods__handbags_and_similar_","ARDL(2,1,1,1)",611.5447,628.9214,NA,NA,NA,"Test Failed"
"tubes__pipes_and_fittings_of_iron_o","ARDL(1,2,2,2)",1008.788,1029.64,NA,NA,NA,"Test Failed"
"tulle__lace__embroidery__ribbons__t","ARDL(1,2,2,2)",620.0699,640.9219,NA,NA,NA,"Test Failed"
"universals__plates_and_sheets_of_ir","ARDL(2,1,1,1)",1084.5816,1101.9583,NA,NA,NA,"Test Failed"
"waste_materials_from_textile_fabric","ARDL(2,1,1,1)",740.7755,758.1522,NA,NA,NA,"Test Failed"
"watches_and_clocks","ARDL(2,1,1,1)",793.1147,810.4914,NA,NA,NA,"Test Failed"
"wire_products__ex_electric___&_fenc","Failed",NA,NA,NA,NA,NA,"Not Tested"
"wood_manufactures__n_e_s_","ARDL(2,1,1,1)",659.5134,676.8901,NA,NA,NA,"Test Failed"
"wool_and_other_animal_hair","ARDL(2,1,1,1)",562.2647,579.6413,NA,NA,NA,"Test Failed"
"zinc","ARDL(2,1,1,1)",885.9018,903.2785,NA,NA,NA,"Test Failed"
