"Dependent_Variable","ARDL_Specification","AIC","BIC","Intercept_Coeff","Intercept_SE","Intercept_tStat","Intercept_pValue","IPI_Japan_Coeff","IPI_Japan_SE","IPI_Japan_tStat","IPI_Japan_pValue","IPI_India_Coeff","IPI_India_SE","IPI_India_tStat","IPI_India_pValue","Bilateral_ExchRate_Coeff","Bilateral_ExchRate_SE","Bilateral_ExchRate_tStat","Bilateral_ExchRate_pValue","Volatility_Coeff","Volatility_SE","Volatility_tStat","Volatility_pValue","Cointegration_Status"
"anim_veg_oils_fats_processed","ARDL(2,1,1,1,1)",757.5175,778.0804,51266.2500039651,98307.1127261198,0.521490750590867,0.605853835739174,-1226.49233748098,2164.19139172903,-0.566720828004544,0.575119817731959,1915.74109008367,3468.40095657143,0.552341299080199,0.584806572044617,-199795.239028253,386513.136964996,-0.516917071945078,0.609004259192006,7917.34279183778,19030.7068431431,0.416029885652432,0.680349348738561,"Not Tested"
"articles_of_artificial_plastic_mate","ARDL(2,1,1,1,1)",773.3467,793.9096,8793.88815772217,23012.2537467006,0.382139370377098,0.705051747253721,-124.671383226069,287.632503843528,-0.433439828809788,0.667796086872889,-102.498008162839,737.625992156976,-0.138956611145321,0.890413058437369,20626.023953579,93018.5532234427,0.221740967138379,0.826018061227459,3268.72444709582,5569.16925606763,0.586932143162022,0.56164065737263,"Not Tested"
"articles_of_paper_pulp_paperboard","ARDL(2,1,1,1,1)",555.8852,576.4481,-209.41905607757,925.558723211239,-0.226262311429563,0.822531965546011,6.79277271381726,11.0558489693299,0.614405346225437,0.543579463422869,-4.52572410342946,18.27013561859,-0.247711576854663,0.806045193306506,972.278689254034,2287.70771943168,0.425001271358026,0.673868713471842,-81.0362931648814,158.378288484408,-0.511662892308999,0.612632846713438,"Not Tested"
"cereal_preps_preps_of_flour_of_fr","ARDL(1,2,2,2,2)",486.13,511.8335,160.292306778242,287.639773992829,0.557267531374983,0.581935495194259,-5.77440502921359,3.82311885853786,-1.51039118658791,0.14255936554001,18.8510295110781,7.15622457953286,2.63421435445065,0.0137917106212041,-1759.11814999107,855.638399561898,-2.0559130479555,0.0495771406754519,-39.2365715308126,67.0619201280489,-0.585079751010615,0.563352285387853,"Not Tested"
"chemical_materials_and_products_n","ARDL(2,1,1,1,1)",849.6135,870.1763,-324794.541584313,495153.298652425,-0.655947445908674,0.516857561428548,5864.35836707146,8485.17331782402,0.691130062688613,0.494797502855469,-5355.51644642559,8260.72075973677,-0.648311037522135,0.521715535882766,459797.12117094,741863.934983699,0.619786323998946,0.540077814157701,-17020.4525757902,32682.935955117,-0.520774896085352,0.606346421735257,"Not Tested"
